,source_node,path,distance
383,127,"[127, 11, 87, 232, 3, 216, 264, 198, 146, 104, 74, 15]",12
384,128,"[128, 180, 1, 5]",4
385,128,"[128, 180, 1, 117, 40, 25]",6
386,128,"[128, 180, 1, 117, 40, 115, 15]",7
387,129,"[129, 210, 102, 44, 156, 128, 180, 1, 5]",9
388,129,"[129, 210, 56, 120, 144, 283, 252, 72, 40, 25]",10
389,129,"[129, 210, 111, 96, 258, 264, 198, 146, 104, 74, 15]",11
390,130,"[130, 215, 44, 156, 128, 180, 1, 5]",8
391,130,"[130, 215, 44, 156, 128, 180, 1, 117, 40, 25]",10
392,130,"[130, 215, 44, 156, 128, 180, 1, 117, 40, 115, 15]",11
393,131,"[131, 133, 93, 64, 142, 243, 8, 117, 1, 5]",10
394,131,"[131, 133, 93, 64, 142, 243, 8, 117, 40, 25]",10
395,131,"[131, 133, 93, 64, 142, 243, 8, 146, 104, 74, 15]",11
396,132,"[132, 237, 165, 101, 175, 25]",6
397,132,"[132, 237, 165, 101, 175, 25, 40, 115, 15]",9
398,132,"[132, 237, 165, 101, 175, 25, 40, 117, 1, 5]",10
399,133,"[133, 93, 64, 142, 243, 8, 117, 1, 5]",9
400,133,"[133, 93, 64, 142, 243, 8, 117, 40, 25]",9
401,133,"[133, 93, 64, 142, 243, 8, 146, 104, 74, 15]",10
402,134,"[134, 54, 264, 236, 155, 1, 5]",7
403,134,"[134, 54, 264, 198, 146, 104, 74, 15]",8
404,134,"[134, 54, 264, 236, 280, 76, 81, 25]",8
405,135,"[135, 32, 125, 262, 95, 243, 8, 117, 1, 5]",10
406,135,"[135, 32, 125, 262, 95, 243, 8, 117, 40, 25]",10
407,135,"[135, 32, 125, 262, 95, 243, 8, 146, 104, 74, 15]",11
408,136,"[136, 73, 211, 236, 155, 1, 5]",7
409,136,"[136, 226, 82, 203, 199, 28, 115, 15]",8
410,136,"[136, 226, 268, 283, 252, 72, 40, 25]",8
411,137,"[137, 195, 223, 24, 241, 14, 81, 25]",8
412,137,"[137, 195, 223, 258, 264, 236, 155, 1, 5]",9
413,137,"[137, 195, 223, 258, 264, 198, 146, 104, 74, 15]",10
414,138,"[138, 269, 202, 282, 289, 206, 81, 25]",8
415,138,"[138, 269, 134, 54, 264, 236, 155, 1, 5]",9
416,138,"[138, 269, 134, 54, 264, 198, 146, 104, 74, 15]",10
417,139,"[139, 73, 211, 236, 155, 1, 5]",7
418,139,"[139, 73, 211, 236, 280, 76, 81, 25]",8
